Li		R (P=1009)	R (P=1013)	R (P=1019)	R (P=1021)	R (P=1031)	R (P=1033)	R (P=1039)	R (P=1049)	
9070139055782792373	943	239	252	595	379	363	600	249	
4891456774241536276	192	526	908	224	941	775	304	954	
4730420047573377139	385	570	569	651	341	293	779	142	
1807445865701171181	783	119	360	706	848	347	617	289	
4006063432304264228	486	178	428	662	589	643	738	1047	
2755802858542401772	856	162	610	265	884	744	570	1042	
1181326598600729952	531	414	485	890	387	104	400	522	
2768846622183796008	582	986	974	858	706	316	878	719	
7491379790448716584	281	226	19	890	495	985	601	943	
2278623774557801976	575	20	337	755	180	646	714	111	
